Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
399006,2010/6/1,986.02,994.79,948.12,973.23,13562.85,492417.69,0
399006,2010/6/2,967.61,997.12,952.61,997.12,10746.28,400120.63,2.4547
399006,2010/6/3,1002.36,1026.7,997.78,998.39,16168.05,624083.56,0.1274
399006,2010/6/4,989.68,1027.68,986.5,1027.68,15002.95,526944.05,2.9337
399006,2010/6/7,1005.03,1075.23,1001.7,1069.47,26552.75,910609.51,4.0664
399006,2010/6/8,1067.32,1075.5,1050.97,1067.15,19767.21,662199.45,-0.2169
399006,2010/6/9,1070.85,1102.1,1069.43,1077.82,25415.68,899486.62,0.9999
399006,2010/6/10,1077.68,1119.11,1076.28,1117.48,21974.05,824273.1,3.6796
399006,2010/6/11,1122.44,1128.23,1118.71,1122.2,22248.74,844903.94,0.4224
399006,2010/6/17,1126.13,1129.69,1064.84,1064.84,17642.84,675740.93,-5.1114
399006,2010/6/18,1052.07,1053.14,993.17,1000.28,16306.51,582772.12,-6.0629
399006,2010/6/21,991.96,1043.16,976.41,1040.8,15747.98,560426.96,4.0509
399006,2010/6/22,1037.04,1057.37,1033.65,1035,14271.62,506748.01,-0.5573
399006,2010/6/23,1026.87,1056.35,1023.74,1047.34,12573.59,460867.23,1.1923
399006,2010/6/24,1046.76,1059.75,1041.54,1050.6,10691.33,390494.8,0.3113
